position,team_name,matches_played,won,draw,lost,goals_scored,goals_conceded,points
1,MANCHESTER CITY,38,28,5,5,94,33,89
2,ARSENAL,38,26,6,6,88,43,84
3,MANCHESTER UNITED,38,23,6,9,58,43,75
4,NEWCASTLE UNITED,38,19,14,5,68,33,71
5,LIVERPOOL,38,19,10,9,75,47,67
6,BRIGHTON & HOVE ALBION,38,18,8,12,72,53,62
7,ASTON VILLA,38,18,7,13,51,46,61
8,TOTTENHAM HOTSPUR,38,18,6,14,70,63,60
9,BRENTFORD,38,15,14,9,58,46,59
10,FULHAM,38,15,7,16,55,53,52
11,CRYSTAL PALACE,38,11,12,15,40,49,45
12,CHELSEA,38,11,11,16,38,47,44
13,WOLVERHAMPTON WANDERERS,38,11,8,19,31,58,41
14,WEST HAM UNITED,38,11,7,20,42,55,40
15,AFC BOURNEMOUTH,38,11,6,21,37,71,39
16,NOTTINGHAM FOREST,38,9,11,18,38,68,38
17,EVERTON,38,8,12,18,34,57,36
18,LEICESTER CITY,38,9,7,22,51,68,34
19,LEEDS UNITED,38,7,10,21,48,78,31
20,SOUTHAMPTON,38,6,7,25,36,73,25
